ID_Match;League;Year;Season;Type;blueTeamTag;bResult;rResult;redTeamTag;gamelength;blueTop;blueTopChamp;blueJungle;blueJungleChamp;blueMiddle;blueMiddleChamp;blueADC;blueADCChamp;blueSupport;blueSupportChamp;redTop;redTopChamp;redJungle;redJungleChamp;redMiddle;redMiddleChamp;redADC;redADCChamp;redSupport;redSupportChamp
1;NALCS;2015;Spring;Season;TSM;1;0;C9;40;Dyrus;Irelia;Santorin;RekSai;Bjergsen;Ahri;WildTurtle;Jinx;Lustboy;Janna;Balls;Gnar;Meteos;Elise;Hai;Fizz;Sneaky;Sivir;LemonNation;Thresh
2;NALCS;2015;Spring;Season;CST;0;1;DIG;38;Cris;Gnar;Impaler;Rengar;Jesiz;Ahri;Mash;Caitlyn;Sheep;Leona;Gamsu;Irelia;Crumbzz;JarvanIV;Shiphtur;Azir;CoreJJ;Corki;KiWiKiD;Annie
3;NALCS;2015;Spring;Season;WFX;1;0;GV;40;Flaresz;Renekton;ShorterACE;Rengar;Pobelter;Fizz;Altec;Sivir;Gleeb;Annie;Hauntzer;Sion;Saintvicious;LeeSin;Keane;Azir;Cop;Corki;BunnyFuFuu;Janna
4;NALCS;2015;Spring;Season;TIP;0;1;TL;41;Rhux;Irelia;Rush;JarvanIV;XiaoWeiXiao;Leblanc;Apollo;Sivir;Adrian;Thresh;Quas;Gnar;IWDominate;Nunu;Fenix;Lulu;KEITH;KogMaw;Xpecial;Janna
5;NALCS;2015;Spring;Season;CLG;1;0;T8;35;Benny;Gnar;Xmithie;JarvanIV;Link;Lissandra;Doublelift;Tristana;aphromoo;Janna;CaliTrlolz8;Sion;Porpoise8;RekSai;Slooshi8;Lulu;Maplestreet8;Corki;Dodo8;Annie
6;NALCS;2015;Spring;Season;DIG;0;1;TIP;24;Gamsu;Kassadin;Crumbzz;Rengar;Shiphtur;Leblanc;CoreJJ;Sivir;KiWiKiD;Annie;Rhux;Gnar;Rush;JarvanIV;XiaoWeiXiao;Lulu;Apollo;Corki;Adrian;Thresh
7;NALCS;2015;Spring;Season;CST;1;0;WFX;39;Cris;Irelia;Impaler;JarvanIV;Jesiz;Xerath;Mash;Corki;Sheep;Janna;Flaresz;Renekton;ShorterACE;LeeSin;Pobelter;Leblanc;Altec;Tristana;Gleeb;Nami
8;NALCS;2015;Spring;Season;TL;1;0;CLG;43;Quas;Renekton;IWDominate;JarvanIV;FeniX;Azir;KEITH;Caitlyn;Xpecial;Annie;Benny;Rumble;Xmithie;Rengar;Link;Leblanc;Doublelift;Sivir;Aphromoo;Blitzcrank
9;NALCS;2015;Spring;Season;C9;0;1;GV;41;Balls;Sion;Meteos;RekSai;Hai;Orianna;Sneaky;KogMaw;LemonNation;Janna;Hauntzer;Kassadin;Saintvicious;Vi;Keane;Zed;Cop;Corki;Bunny FuFuu;Morgana
10;NALCS;2015;Spring;Season;T8;1;0;TSM;32;CaliTrlolz8;Irelia;Porpoise8;Nocturne;Slooshi8;Orianna;Maplestreet8;Sivir;Dodo8;Nami;Dyrus;Gnar;Santorin;Rengar;Bjergsen;Leblanc;WildTurtle;Graves;Lustboy;Morgana
11;NALCS;2015;Spring;Season;GV;1;0;DIG;52;Hauntzer;Gnar;Saintvicious;JarvanIV;Keane;Azir;Cop;Corki;Bunny FuFuu;Morgana;Gamsu;Lulu;Crumbzz;LeeSin;Shiphtur;Xerath;CoreJJ;Ezreal;KiWiKiD;Janna
12;NALCS;2015;Spring;Season;T8;1;0;CST;46;CaliTrlolz8;Jax;Porpoise8;JarvanIV;Slooshi8;Kassadin;Maplestreet8;Graves;Dodo8;Morgana;Cris;Gnar;Impaler;RekSai;Jesiz;Ahri;Mash;Corki;Sheep;Thresh
13;NALCS;2015;Spring;Season;C9;1;0;TL;38;Balls;Irelia;Meteos;Vi;Hai;Lissandra;Sneaky;Kalista;LemonNation;Annie;Quas;Gnar;IWDominate;JarvanIV;FeniX;Ahri;Piglet;Sivir;Xpecial;Leona
14;NALCS;2015;Spring;Season;TIP;0;1;CLG;31;Impact;Lulu;Rush;LeeSin;XiaoWeiXiao;Xerath;Apollo;Corki;Adrian;Janna;ZionSpartan;Sion;Xmithie;JarvanIV;Link;Cassiopeia;Doublelift;Kalista;Aphromoo;Blitzcrank
15;NALCS;2015;Spring;Season;TSM;1;0;WFX;33;Dyrus;Maokai;Santorin;JarvanIV;Bjergsen;Leblanc;WildTurtle;Kalista;Lustboy;Annie;Avalon;Lulu;Helios;Rengar;Pobelter;Morgana;Altec;Tristana;Gleeb;Janna
16;NALCS;2015;Spring;Season;CLG;1;0;C9;38;ZionSpartan;Rumble;Xmithie;Vi;Link;Zed;Doublelift;Caitlyn;Aphromoo;Morgana;Balls;Gnar;Meteos;RekSai;Hai;Leblanc;Sneaky;Corki;LemonNation;Janna
17;NALCS;2015;Spring;Season;DIG;0;1;WFX;40;Gamsu;Gnar;Crumbzz;JarvanIV;Shiphtur;Azir;CoreJJ;KogMaw;KiWiKiD;Nami;Avalon;Maokai;Helios;LeeSin;Pobelter;Zed;Altec;Sivir;Gleeb;Janna
18;NALCS;2015;Spring;Season;TSM;1;0;TL;39;Dyrus;Lissandra;Santorin;JarvanIV;Bjergsen;Xerath;WildTurtle;Tristana;Lustboy;Morgana;Quas;Gnar;IWDominate;Nunu;FeniX;Ahri;Piglet;Caitlyn;Xpecial;Janna
19;NALCS;2015;Spring;Season;TIP;1;0;T8;40;Impact;Gnar;Rush;LeeSin;XiaoWeiXiao;Leblanc;Apollo;KogMaw;Adrian;Nami;CaliTrlolz8;Malphite;Porpoise8;JarvanIV;Slooshi8;Orianna;Maplestreet8;Graves;Dodo8;Janna
20;NALCS;2015;Spring;Season;CST;0;1;GV;39;Cris;Sion;Impaler;Rengar;Jesiz;Ahri;Mash;Sivir;Sheep;Janna;Hauntzer;Lissandra;Saintvicious;JarvanIV;Keane;Corki;Cop;Kalista;Bunny FuFuu;Thresh
21;NALCS;2015;Spring;Season;GV;0;1;TIP;49;Hauntzer;Lulu;Saintvicious;RekSai;Keane;Corki;Cop;Kalista;Bunny FuFuu;Morgana;Impact;Rumble;Rush;LeeSin;XiaoWeiXiao;Ahri;Apollo;Graves;Adrian;Annie
22;NALCS;2015;Spring;Season;C9;1;0;T8;35;Balls;Maokai;Meteos;Vi;Hai;Kassadin;Sneaky;Graves;LemonNation;Annie;CaliTrlolz8;Irelia;Porpoise8;JarvanIV;Slooshi8;Corki;Maplestreet8;Sivir;Dodo8;Leona
23;NALCS;2015;Spring;Season;DIG;0;1;TSM;36;Gamsu;RekSai;CloudNguyen;Vi;Shiphtur;Azir;CoreJJ;Corki;KiWiKiD;Thresh;Dyrus;Maokai;Santorin;LeeSin;Bjergsen;Xerath;WildTurtle;Sivir;Lustboy;Morgana
24;NALCS;2015;Spring;Season;TL;1;0;CST;43;Quas;Lissandra;IWDominate;RekSai;FeniX;Xerath;Piglet;Vayne;Xpecial;Nami;Cris;Sion;Impaler;JarvanIV;Jesiz;Cassiopeia;Mash;Sivir;Sheep;Morgana
25;NALCS;2015;Spring;Season;WFX;0;1;CLG;32;Avalon;Gnar;Helios;JarvanIV;Pobelter;Kassadin;Altec;Sivir;Gleeb;Janna;ZionSpartan;Irelia;Xmithie;Vi;Link;Nidalee;Doublelift;Jinx;Aphromoo;Morgana
26;NALCS;2015;Spring;Season;C9;1;0;CST;31;Balls;Rumble;Meteos;Vi;Hai;Leblanc;Sneaky;Graves;LemonNation;Morgana;Cris;Maokai;Impaler;JarvanIV;Jesiz;Xerath;Mash;Lucian;Sheep;Janna
27;NALCS;2015;Spring;Season;CLG;1;0;GV;36;ZionSpartan;Lissandra;Xmithie;LeeSin;Link;Ezreal;Doublelift;Sivir;Aphromoo;Alistar;Hauntzer;Irelia;Saintvicious;Vi;Keane;Azir;Cop;Corki;Bunny FuFuu;Janna
28;NALCS;2015;Spring;Season;TL;0;1;DIG;41;Quas;Maokai;IWDominate;Vi;FeniX;Ezreal;Piglet;Vayne;Xpecial;Annie;Gamsu;Rumble;CloudNguyen;JarvanIV;Shiphtur;Ahri;CoreJJ;Sivir;KiWiKiD;Morgana
29;NALCS;2015;Spring;Season;T8;1;0;WFX;31;CaliTrlolz8;Jax;Porpoise8;RekSai;Slooshi8;Lissandra;Maplestreet8;Graves;Dodo8;Morgana;Avalon;Gnar;Helios;LeeSin;Pobelter;Lulu;Altec;Kalista;Gleeb;Annie
30;NALCS;2015;Spring;Season;TSM;1;0;TIP;30;Dyrus;Sion;Santorin;Vi;Bjergsen;Ahri;WildTurtle;Jinx;Lustboy;Janna;Impact;Maokai;Rush;LeeSin;XiaoWeiXiao;Yasuo;Apollo;Graves;Adrian;Morgana
31;NALCS;2015;Spring;Season;CST;0;1;CLG;45;Cris;Irelia;Impaler;RekSai;Jesiz;Leblanc;Mash;Kalista;Sheep;Thresh;ZionSpartan;Sion;Xmithie;JarvanIV;Link;Nidalee;Doublelift;Jinx;Aphromoo;Morgana
32;NALCS;2015;Spring;Season;WFX;1;0;TIP;42;Avalon;Lissandra;Helios;Vi;Pobelter;Kassadin;Altec;Graves;Gleeb;Morgana;Impact;Maokai;Rush;RekSai;XiaoWeiXiao;Ezreal;Apollo;Sivir;Adrian;Leona
